,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1532,https://www.lottoland.com/en/german-lottery/results-winning-numbers/13-02-2019,German Lotto,13-02-2019,III,5 Numbers + SuperBall,42,9882.3,"[5, 11, 23, 31, 42, 43]",9,,,,,
1533,https://www.lottoland.com/en/german-lottery/results-winning-numbers/13-02-2019,German Lotto,13-02-2019,IV,5 Numbers,366,3402.1,"[5, 11, 23, 31, 42, 43]",9,,,,,
1534,https://www.lottoland.com/en/german-lottery/results-winning-numbers/13-02-2019,German Lotto,13-02-2019,V,4 Numbers + SuperBall,2039,203.5,"[5, 11, 23, 31, 42, 43]",9,,,,,
1535,https://www.lottoland.com/en/german-lottery/results-winning-numbers/13-02-2019,German Lotto,13-02-2019,VI,4 Numbers,20181,41.1,"[5, 11, 23, 31, 42, 43]",9,,,,,
1536,https://www.lottoland.com/en/german-lottery/results-winning-numbers/13-02-2019,German Lotto,13-02-2019,VII,3 Numbers + SuperBall,37603,22,"[5, 11, 23, 31, 42, 43]",9,,,,,
1537,https://www.lottoland.com/en/german-lottery/results-winning-numbers/13-02-2019,German Lotto,13-02-2019,VIII,3 Numbers,364130,10.2,"[5, 11, 23, 31, 42, 43]",9,,,,,
1538,https://www.lottoland.com/en/german-lottery/results-winning-numbers/13-02-2019,German Lotto,13-02-2019,IX,2 Numbers + SuperBall,286658,5,"[5, 11, 23, 31, 42, 43]",9,,,,,
1539,https://www.lottoland.com/en/german-lottery/results-winning-numbers/02-02-2019,German Lotto,43498,I,6 Numbers + SuperBall,0,7222214.4,"[3, 21, 29, 30, 34, 37]",3,,,,,
1540,https://www.lottoland.com/en/german-lottery/results-winning-numbers/02-02-2019,German Lotto,43498,II,6 Numbers,3,832679.4,"[3, 21, 29, 30, 34, 37]",3,,,,,
1541,https://www.lottoland.com/en/german-lottery/results-winning-numbers/02-02-2019,German Lotto,43498,III,5 Numbers + SuperBall,53,16041.2,"[3, 21, 29, 30, 34, 37]",3,,,,,
